
0,2.0185831490214676,1394618698482
1,2.011043615336258,1394618698500
2,2.0010094521043316,1394618698515
3,1.9802124006890365,1394618698530
4,1.9649485790958983,1394618698546
7,1.6439017550513644,1394618698594
8,1.6029080999000265,1394618698608
15,1.6088661110388454,1394618698663
16,1.4478458352595605,1394618698671
31,1.5645574504769473,1394618698756
32,1.4235952741951707,1394618698761
63,1.5048346029537842,1394618698895
64,1.4360305229815735,1394618698900
127,1.460482249324382,1394618699152
128,1.4523151523264333,1394618699156
255,1.4373326515148264,1394618699698
256,1.4373862397200898,1394618699703
